Playoffs	Round	CompetitionStart	Location	Plz	City	Address	Venue	Team Name 1	Team Name 2	Points 1	Points 2	Score 1	Score 2	Subscore 1	Subscore 2	Source
G	6	3. November 2001						JZ Sparakasse Innsbruck	JSZ Schartner Bombe Attnang			10	4	95	37	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	6	3. November 2001						JZ RAPSO Straßham	Judoclub Stockerau			10	2	120	20	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	6	3. November 2001						LZ Multikraft Wels	UNION Sparkasse Leibnitz			3	11	30	110	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	7	10. November 2001						UNION Sparkasse Leibnitz	JSZ Schartner Bombe Attnang			9	5	90	50	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	7	10. November 2001						UJZ RAIKA Mühlviertel	JZ RAPSO Straßham			8	6	80	60	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	7	10. November 2001						JZ Sparkasse Innsbruck	LZ Multikraft Wels			14	0	140	00	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
P (Place 2/4 1. Durchgang) 1		24. November 2001						JZ Sparkasse Innsbruck	JSZ Schartner Bombe Attnang							{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
P (Place 2/4 1. Durchgang) 2		24. November 2001						UJZ RAIKA Mühlviertel	UNION Sparkasse Leibnitz							{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
P (Place 2/4 2. Durchgang) 1		1. Dezember 2001						JSZ Schartner Bombe Attnang	JZ Sparkasse Innsbruck	0	2					{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
P (Place 2/4 2. Durchgang) 2		1. Dezember 2001						UNION Sparkasse Leibnitz	UJZ RAIKA Mühlviertel	0	2					{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
P (Place 1/2 1. Durchgang)		9. Dezember 2001						JZ Sparkasse Innsbruck	UJZ RAIKA Mühlviertel							{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
P (Place 1/2 2. Durchgang)		15. Dezember 2001						UJZ RAIKA Mühlviertel	JZ Sparkasse Innsbruck	0	2					{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
		2001-12	Matsumae Budocenter @ 1100 Wien, Gutheil-Schoder-Gasse 9	1100	Wien	Gutheil-Schoder-Gasse 9	Matsumae Budocenter	UJZ Mühlviertel	JGV Wien			3	2			{{Internetquelle |url=https://www.sn.at/archivsn?img=u0eUr462T3h7SKPN%2FcH24J3d3HSrUDxAA3LmmBAyLJiL3FTxdPwM6%2BhUnpfZpToy2P00b6N7TEd%2BLuyTsMVar%2BjHcq%2BEWw9a2XKoL5sikiQ2k7Rby1gehiVornomCRDY&id1=20011203_20#slide20 |titel=JUDO |sprache=de |abruf=2025-01-30}}
		2001-12	Matsumae Budocenter @ 1100 Wien, Gutheil-Schoder-Gasse 9	1100	Wien	Gutheil-Schoder-Gasse 9	Matsumae Budocenter	PSV Salzburg	UJZ Mühlviertel			3	2			{{Internetquelle |url=https://www.sn.at/archivsn?img=u0eUr462T3h7SKPN%2FcH24J3d3HSrUDxAA3LmmBAyLJiL3FTxdPwM6%2BhUnpfZpToy2P00b6N7TEd%2BLuyTsMVar%2BjHcq%2BEWw9a2XKoL5sikiQ2k7Rby1gehiVornomCRDY&id1=20011203_20#slide20 |titel=JUDO |sprache=de |abruf=2025-01-30}}
		2001-12	Matsumae Budocenter @ 1100 Wien, Gutheil-Schoder-Gasse 9	1100	Wien	Gutheil-Schoder-Gasse 9	Matsumae Budocenter	JGV Wien	PSV Salzburg			5	0			{{Internetquelle |url=https://www.sn.at/archivsn?img=u0eUr462T3h7SKPN%2FcH24J3d3HSrUDxAA3LmmBAyLJiL3FTxdPwM6%2BhUnpfZpToy2P00b6N7TEd%2BLuyTsMVar%2BjHcq%2BEWw9a2XKoL5sikiQ2k7Rby1gehiVornomCRDY&id1=20011203_20#slide20 |titel=JUDO |sprache=de |abruf=2025-01-30}}
